id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
94,75977,64835,Kis-kas,olo,INTJ,кис-кис,,,
95,15650,14106,Kitai,olo,PROPN,Китай,China,,
96,85486,72952,Kolatselgy,olo,PROPN,Колатсельга,,,
97,77405,66078,Kollas,olo,PROPN,Коллас,,,
98,77118,65806,Kolminažus,olo,NOUN,Троица,,,
99,76107,64957,Kotkatjärvi,olo,PROPN,Коткозеро,,,
100,64691,56066,Kreml’u,olo,PROPN,Кремль,,,
101,77397,66070,Kuittine,olo,PROPN,Куйтежа,,,
102,7777,7183,Latvii,olo,PROPN,Латвия,Latvia,,
103,8158,7514,Linnunrada,olo,PROPN,Млечный Путь,,,
104,8278,7616,Litvu,olo,PROPN,Литва,Lithuania,,
105,77406,66079,Lomu,olo,PROPN,Ломуев,,,
106,8514,7825,Luadogu,olo,PROPN,"Ладога, Ладожское озеро",,,
107,92191,79248,Maria,olo,PROPN,Мария,Maria,,
108,86813,74142,Marii,olo,PROPN,Мария,Maria,,
109,74571,63628,Mihail,olo,PROPN,Михаил,,,
110,74561,63620,Moskovu,olo,PROPN,Москва,,,
111,9894,9047,Mustumeri,olo,PROPN,Чёрное море,,,
112,86970,74284,Mušta,olo,VERB,помнить,to remember,,
113,77417,66090,Mägi,olo,PROPN,Большие Горы,,,
114,77396,66069,Mägrii,olo,PROPN,Мегрега,,,
115,76245,65081,Neva-jogi,olo,PROPN,река Нева,,,
116,10839,9907,Nevvostoliitto,olo,PROPN,Советский Союз,,,
117,11009,10056,Norviegii,olo,PROPN,Норвегия,Norway,,
118,89503,76605,Nuožarvi,olo,PROPN,село Крошнозеро,,,
119,77137,65825,Ojat,olo,PROPN,Оять,Oyat-river,,
120,77136,65824,Ojat’,olo,PROPN,Оять,Oyat-river,,
121,78634,67187,Oleša,olo,PROPN,"Алексей, Алёша",,,
122,11657,10600,Olimpiuadukižat,olo,PROPN,Олимпийские игры,,,
123,76642,65408,Omamualazet-kluubu,olo,PROPN,"организация ""Земляки""",,,
124,92190,79247,Ossippu,olo,PROPN,Иосиф,,,
125,12208,11068,Pakkasukko,olo,PROPN,Дед Мороз,,,
126,81957,69946,Pappil,olo,PROPN,"Шаройла (деревня, сейчас входит в состав деревни Тукса Олонецкого р-на)",,,
127,77542,66206,Paušoi,olo,PROPN,Павшойла,,,
128,12496,11313,Pedrunpäivy,olo,PROPN,Петров день (праздник православной церкви),,,
129,77394,66067,Pekki,olo,PROPN,Пекки,,,
130,81951,69941,Pengiselgy,olo,PROPN,Пенгисельга,,,
131,76140,64986,Periodika-painamo,olo,PROPN,"издательство ""Периодика""",,,
132,76102,64953,Petroskoi,olo,PROPN,Петрозаводск,,,
133,77456,66127,Peša,olo,PROPN,"Пётр, Петя",,,
134,87060,74367,Pilattu,olo,PROPN,Пилат,,,
135,60094,52866,Pohjanlahti,olo,PROPN,Ботнический залив,,,
136,60095,52867,Pohjanmeri,olo,PROPN,Cеверное море,,,
137,13505,12195,Pohjas-Jeuroppu,olo,PROPN,Северная Европа,,,
138,60099,52871,Pohjas-Karjal,olo,PROPN,Северная Карелия,,,
139,13508,12198,Pohjasmuat,olo,PROPN,Северные страны (Скандинавские страны и Финляндия),,,
140,13509,12199,Pohjasn’aba,olo,PROPN,Северный полюс,,,
141,13512,12202,Pohjastiähti,olo,PROPN,Полярная звезда,,,
142,13700,12371,Pokrovu,olo,PROPN,Покров (праздник православной церкви),,,
143,13729,12394,Pol’šu,olo,PROPN,Польша,Poland,,
144,87059,74366,Pontiiskoi,olo,PROPN,Понтийский,,,
145,74799,63847,Požualui,olo,ADV,пожалуй,,,
146,81786,69829,Priäžy,olo,PROPN,Пряжа,,,
147,87063,74371,Puavil,olo,PROPN,Павел,,,
148,77398,66071,Päččy,olo,PROPN,Печная Сельга,,,
149,14466,13037,Rahvahienliitto,olo,PROPN,Лига Наций,,,
150,14588,13146,Rastavu,olo,PROPN,Рождество,Christmas,,
151,77418,66091,Rauhumägi,olo,PROPN,Железная Гора,,,
