id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
93,77812,66448,Keväz’-Dyrgi,lud,PROPN,Егорий Вешний,,,
94,77816,66452,Keväz’-Miikul,lud,PROPN,Никола Вешний,,,
95,89813,76905,Kiiškuoiniemi,lud,PROPN,деревня Ёршнаволок,,,
96,89836,76928,Kikin-oja,lud,PROPN,Кикин ручей,,,
97,89828,76920,Kikki,lud,PROPN,деревня Кикки,,,
98,89779,76872,Kindaz,lud,PROPN,деревня Киндасово,,,
99,89818,76910,Kin’n’er’mägi,lud,PROPN,деревня Кинерма,,,
100,90291,77367,Kirvezd’ärvi,lud,PROPN,д. Кирвесозеро,,,
101,89814,76906,Kodžuri,lud,PROPN,деревня Котчури,,,
102,77814,66450,Koikkar,lud,PROPN,Койкары,,,
103,89829,76921,Kokkuoil,lud,PROPN,деревня Коккойла,,,
104,89822,76914,Kolatselge,lud,PROPN,деревня Колатсельга,,,
105,77801,66439,Kompohd’,lud,PROPN,Кондопога,,,
106,90147,77225,Kondruoi,lud,PROPN,Кондруой,,,
107,89791,76883,Korze,lud,PROPN,деревня Корза,,,
108,89781,76874,Koski,lud,PROPN,деревня Коски,,,
109,91062,78153,Koččurimägi,lud,PROPN,Котчури-гора (Железная гора),,,
110,74326,63402,Krissan,lud,PROPN,Христьяны (деревня),,,
111,77852,66488,Kuiv-Iivan,lud,PROPN,"Иван постный, полетник, полетовщик (прездник)",,,
112,91720,78792,Kujarvi,lud,PROPN,село Михайловское,,,
113,34411,29595,Kujärv,lud,PROPN,Михайловское,,,
114,77822,66458,Kukuoiniem,lud,PROPN,Кукойнаволок,,,
115,78190,66790,Kursk,lud,PROPN,Курск,,,
116,90253,77329,Kuudam,lud,PROPN,деревня Кудама,,,
117,77835,66471,Kuz’moi,lud,PROPN,Кузьма,,,
118,90347,77421,Käppi,lud,PROPN,Кяппи (прозвище),,,
119,74693,63746,Lahdenpohje,lud,PROPN,Лахденпохья,,,
120,77311,65987,Laht,lud,PROPN,Спасская Губа,,,
