category_id	pos	concept_id	concept_ru	concept_en	wdh	wdh_source	wdh_confidence	wdh_note
A21	NOUN	63	болото	bog	geography, oceanography	inherited_from_category	medium	WDH inherited from category A21
A21	NOUN	64	подснежная вода	subnival water	geography, oceanography	inherited_from_category	medium	WDH inherited from category A21
A22	NOUN	65	гора	mountain	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	66	скала	cliff	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	67	низина	lowland	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	68	пойма, заливной луг	floodplain, floodplain meadow	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	69	глина	clay	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	70	песок	sand	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	71	камень	stone	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	72	золото	gold (metal)	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	73	серебро	silver	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	74	медь	copper	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	75	свинец	lead (metal)	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	76	железо	iron	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A22	NOUN	77	ртуть	mercury (Hg)	earth, geology	inherited_from_category	medium	WDH inherited from category A22
A31	VERB	78	расти	to grow	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	79	цветок	flower	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	80	стебель травянистого растения	stem, stalk	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	81	колос	ear, spike	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	VERB	82	цвести	to bloom, to blossom, to flower	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	VERB	83	спеть	to ripen	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	84	мох	moss	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	85	камыш	rush, reed	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A31	NOUN	86	трава прошлогодняя	last year's grass	biology, plants	inherited_from_category	medium	WDH inherited from category A31
A321	NOUN	87	дерево	tree	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	ADJ	88	гнилой (о дереве)	rotten	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	89	почка (древесная)	bud	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	90	корень	root	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	91	дупло	tree hollow	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	92	пень	stump	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	93	валежина	fallen wood	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	94	ветвь	branch	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	95	хвоя	needle, foliage	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	96	смола бегущая, живица	resin	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	97	сера  (смола, выделяющаяся из хвойных деревьев)	coniferous resin	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	98	лист	leaf	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	99	кора (древесных растений)	bark (of a tree)	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	100	береста	birchbark	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	101	крень (креневое дерево)	compression wood	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A321	NOUN	102	заболонь	sapwood	biology, plants	inherited_from_category	medium	WDH inherited from category A321
A322	NOUN	103	лес	forest	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	104	лес глухой	dense forest	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	105	бор	pine forest	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	106	сосна	pine	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	107	сосна кондовая	resinous pine; dense-grained pine; mast pine	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	108	шишка (хвойных деревьев)	cone	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	109	ель	spruce	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	110	дуб	oak	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	111	береза	birch	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	112	сок	sap	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	113	гриб-трутовик	polypore	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	114	осина	aspen	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	115	липа	linden	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	116	клен	maple	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	117	ива	willow	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	118	рябина	mountain ash, rowan	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	119	черемуха	bird cherry	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A322	NOUN	120	ольха	alder	biology, plants	inherited_from_category	medium	WDH inherited from category A322
A323	NOUN	121	можжевельник	juniper	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	122	малина	raspberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	123	красная смородина	redcurrant	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	124	черная смородина	currant	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	125	ягода	berry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	ADJ	126	незрелый (о ягодах)	unripe	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	VERB	127	собирать (ягоды)	to pick, to harvest	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	128	черника	blueberry, whortleberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	129	голубика	bilberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	130	земляника	wild strawberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	131	поленика	Arctic bramble, Arctic raspberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	132	костяника	stone bramble	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	133	морошка	cloudberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	134	брусника	cowberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A323	NOUN	135	клюква	cranberry	biology, food, plants	inherited_from_category	medium	WDH inherited from category A323
A33	NOUN	136	хлеб, хлеба (все злаковые культуры)	bread (all cereals)	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	137	рожь	rye	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	138	пшеница	wheat	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	139	ячмень	barley	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	140	ость ячменя	awn (of barley)	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	141	овёс	oat	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A33	NOUN	142	метелка овса	oat panicle	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A33
A34	NOUN	143	горох	pea	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A34
A34	NOUN	144	стручок	pod	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A34
A34	NOUN	145	репа	turnip	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A34
A34	NOUN	146	брюква	rutabaga	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A34
A34	NOUN	147	лук	onion	agriculture, food, plants	inherited_from_category	medium	WDH inherited from category A34
A35	NOUN	148	куст	bush, shrub	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	149	вереск	heather	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	150	клевер	clover	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	151	крапива	nettle	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	152	щавель	sorrel	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	153	папоротник	fern	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	154	гриб (губчатый)	Bolete	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	155	гриб (пластинчатый)	agaric	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	156	груздь	Lactarius mushroom	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	157	маслёнок	slippery jack mushroom, sticky bun mushroom	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A35	NOUN	158	волнушка	woolly milkcap	biology, plants	inherited_from_category	medium	WDH inherited from category A35
A36	ADJ	159	белый	white	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	160	черный	black	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	161	красный	red	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	162	зелёный	green	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	163	синий	blue	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	164	жёлтый	yellow	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	165	серый	grey	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	166	пёстрый	variegated, motley	color	inherited_from_category	medium	WDH inherited from category A36
A36	ADJ	167	тёмный	dark	color	inherited_from_category	medium	WDH inherited from category A36
A411	NOUN	168	собака	dog	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	NOUN	169	щенок	puppy	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	VERB	170	лаять	to bark	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	NOUN	171	кошка	cat	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	NOUN	172	котёнок	kitten	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	VERB	173	мяукать	to meow	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	NOUN	174	коготь	claw	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A411	NOUN	1447	детёныш (животного)	baby animal, cub	animal_husbandry, animals	inherited_from_category	medium	WDH inherited from category A411
A412	NOUN	175	медведь	bear	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	176	лапа (медведя)	paw	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	177	морда	muzzle, snout	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	178	волк	wolf	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	VERB	179	выть	to howl	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	180	олень	deer	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	181	лось	moose	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	182	куница	marten	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	183	рысь	lynx	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	184	горностай	stoat	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	185	лиса	fox	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	186	белка	squirrel	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	187	шерсть (животных)	fur, hair (animal)	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	188	заяц	hare	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	189	ласка	weasel (mammal)	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	190	норка	mink (animal)	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	191	выдра	otter	animals, biology	inherited_from_category	medium	WDH inherited from category A412
