category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
A42	NOUN	221	гагара	loon	крупная северная водоплавающая птица с густым оперением	any of various birds, of the order Gaviiformes, of North America and Europe that dive for fish and have a short tail, webbed feet and a yodeling cry
A42	NOUN	222	чайка	seagull		
A42	NOUN	223	лебедь	swan		
A42	NOUN	224	кулик	sandpiper, snipe		
A42	NOUN	225	журавль	crane	крупная болотная перелётная птица семейства журавлеобразных, с длинным прямым клювом и с длинными ногами и шеей	Any bird of the family Gruidae, large birds with long legs and a long neck which is extended during flight. 
A42	VERB	226	курлыкать	to scream making 'kurla' sounds (about cranes)		
A42	NOUN	227	рябчик	hazel grouse (bird)		
A42	NOUN	228	глухарь	wood grouse	крупная птица из подсемейства тетеревиных, отряда курообразных; отличается сильно округлённым хвостом и удлинёнными перьями на горле	a large bird from the grouse subfamily, order Galliformes; distinguished by a strongly rounded tail and elongated throat feathers
A42	NOUN	229	глухарка	wood grouse (female)	самка глухаря, окрашена весьма пёстро смесью ржаво-жёлтого, ржаво-красного, чёрно-бурого и белого цвета (в виде поперечных тёмных и ржаво-охристых полос)	female capercaillie has feathers on the upper parts are brown with black and silver barring; on the underside they are more light and buffish yellow; hen has a white spot on the wing bow
A42	NOUN	230	тетерев	black grouse		
A42	NOUN	231	сорока	magpie		
A42	NOUN	232	ворона	crow	птица из рода воронов семейства врановых	a bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call
A42	NOUN	233	ворон	raven	крупная птица семейства врановых, с чёрным блестящим оперением, гнездящаяся как правило в уединённых местах	any of several, generally large and lustrous black species of birds in the genus Corvus, especially the common raven, Corvus corax
A42	NOUN	234	ястреб	hawk (a predatory bird)		
A42	NOUN	235	орёл	eagle		
A42	NOUN	236	сова	owl		
A43	NOUN	237	рыба	fish		
A43	NOUN	238	чешуя	scales (of fish, reptiles, etc.)		
A43	NOUN	239	плавник	fin, flipper (appendage of a fish)		
