category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B16	VERB	536	неметь, терять чувствительность			
B16	VERB	537	вылечить	to cure (of)	лечением восстановить здоровье; излечить 	to relieve (a person or animal) of the symptoms of a disease or condition
B16	VERB	538	замерзать			
B16	VERB	539	дрожать	to shiver	трястись, испытывать частое судорожное сокращение мышц (от холода, при нервном возбуждении и т. п.)	to tremble or shake, especially when cold or frightened
B16	VERB	540	простужаться			
B16	NOUN	541	насморк			
B16	VERB	542	чихать			
B16	NOUN	543	горб	hump	резко выраженное выпячивание грудного отдела позвоночника или грудной клетки вследствие деформации	a deformity in humans caused by abnormal curvature of the upper spine
B16	ADJ	544	хромой			
B16	ADJ	545	немой			
B17	ADJ	546	старый (о человеке)			
B17	NOUN	547	старик	old man		
B17	NOUN	548	старуха	old woman		
B17	NOUN	549	морщина			
B17	ADJ	550	живой	alive	обладающий жизнью, не мёртвый	Having life; living; not dead. 
B17	VERB	551	умирать			
B17	NOUN	552	смерть			
B17	NOUN	553	покойник			
B17	VERB	554	хоронить			
B17	NOUN	555	плакальщица			
B17	NOUN	556	гроб	coffin	специальный ящик для погребения умерших	a rectangular closed box in which the body of a dead person is placed for burial
B17	NOUN	557	могила			
B17	NOUN	558	место			
B17	NOUN	559	душа	soul	нематериальная составляющая личности, её внутренний мир	the spirit or essence of a person usually thought to consist of one's thoughts and personality, often believed to live on after the person's death
B17	VERB	560	дремать	to doze	пребывать в сонливом, полусонном состоянии	to sleep lightly or briefly; to nap, snooze.
B17	VERB	561	спать			
B17	VERB	562	заснуть			
B17	VERB	563	храпеть (о человеке)			
B17	NOUN	564	сон			
B17	VERB	566	успокаивать (о человеке)			
B17	VERB	567	спорить			
B17	VERB	568	видеть	to see	обладать зрением, зрительной способностью	to perceive or detect someone or something with the eyes, or as if by sight
B17	VERB	569	замечать (обнаруживать что-либо и уделять этому внимание)	to detect, to notice		
B17	NOUN	570	забота			
B17	VERB	571	быть	to be	существовать	to exist
B17	AUX	572	не (отрицательный глагол, 3-е л. ед. ч.)	not		
B17	VERB	573	мочь			
B17	VERB	574	ждать	to wait	проводить время, рассчитывая на появление кого-либо или чего-либо	 to expect, to wait (to believe that something will happen or count on something happening)
B17	VERB	575	намереваться			
B17	VERB	576	отгадывать			
B17	VERB	577	провожать			
B17	VERB	578	заблудиться			
B17	VERB	579	торопиться			
B17	NOUN	580	привычка			
B17	NOUN	581	возраст	age	количество прожитых лет от рождения	The number of full years, months, days, hours, etc., that someone, or something, has been alive.
B17	NOUN	582	жребий	lot	предмет, применяемый при жеребьёвке (решении спора, вопроса о праве или очерёдности )	Anything (as a die, pebble, ball, or slip of paper) used in determining a question by chance, or without human choice or will. 
B17	VERB	583	надо			
B17	VERB	584	отвечать			
B17	NOUN	585	спасибо			
B17	NOUN	586	ссора	quarrel		
B17	VERB	587	драться	to fight	бить друг друга; устраивать драку	to engage in combat with; to oppose physically, to contest with
B17	ADJ	588	знакомый			
B17	ADJ	589	трусливый			
B181	ADJ	565	вкусный	tasty	приятный на вкус; вызывающий приятные ощущения у едока	having a pleasant or satisfying flavor; delicious
B181	NOUN	590	пища			
B181	VERB	591	есть	to eat	употреблять (что-то твердое или полутвердое, обычно пищу), помещая это в рот и проглатывая	to consume (something solid or semi-solid, usually food) by putting it into the mouth and swallowing it
B181	VERB	592	пить			
B181	VERB	593	хлебать			
B181	VERB	594	сосать			
B181	NOUN	595	прием пищи			
B181	NOUN	596	завтрак			
B181	NOUN	597	обед			
B181	NOUN	598	ужин			
B181	VERB	599	варить	to boil	получать, приготавливать посредством термической обработки	to cook in boiling water
B181	VERB	600	парить			
B181	ADJ	601	сладкий			
B181	ADJ	602	пресный (о тесте, хлебе, лепешках)			
B181	ADJ	603	холодный			
B181	ADJ	604	тёплый	warm		
B181	ADJ	605	горячий	hot	имеющий высокую температуру	having a high temperature
B181	VERB	606	кипеть			
B181	NOUN	607	чай			
B181	NOUN	608	блин	pancake	плоская тонкая лепёшка, испечённая из жидкого теста на сковороде	a thin batter cake fried in a pan or on a griddle in oil or butter
B181	NOUN	609	сканец			
B181	NOUN	610	пирог			
B181	NOUN	611	рыбник (пирог)			
B181	NOUN	612	каша из муки, загуста			
B181	ADJ	613	густой	dense	плотный, состоящий из множества однородных, расположенных на небольших расстояниях друг от друга частей, объектов	having relatively high density
B181	ADJ	614	жидкий	liquid	имеющий свойство текучести, занимающий постоянный объём, но легко меняющий форму и под действием силы тяжести принимающий форму объемлющего сосуда	A substance that is flowing, and keeping no shape, such as water; a substance of which the molecules, while not tending to separate from one another like those of a gas, readily change their relative position, and which therefore retains no definite shape
B181	NOUN	615	крошево			
B181	NOUN	616	бульон	bouillon	отвар, употребляемый как первое блюдо или служащий основой для приготовления различных супов или соусов	water in which food (meat or vegetable etc) has been boiled
B181	NOUN	617	суп	soup		
B181	VERB	618	кусать			
B181	VERB	619	пробовать (на вкус)	to taste		
B181	VERB	620	размельчать			
B181	VERB	621	отжимать, выжимать, пропуская через сито			
B181	VERB	622	вскрыть	to unseal	открыть, раскрыть что-либо упакованное, запертое, закрытое, запечатанное	to open by having a seal broken
B181	NOUN	623	потроха рыбы			
B181	NOUN	624	очистки			
B181	NOUN	625	отжимки			
B181	NOUN	626	раствор для киселя или блинов			
B181	NOUN	627	пена			
B181	NOUN	628	пивная гуща, барда			
B181	ADJ	629	горький	bitter	имеющий едкий (обычно неприятный) вкус, свойственный полыни, хине, горчице и т. п.	having an acrid taste (usually from a basic substance)
B181	ADJ	630	кислый			
B181	NOUN	631	плесень			
B181	NOUN	632	соль			
B181	NOUN	633	сахар			
B181	NOUN	634	толокно			
B181	NOUN	635	солод			
B181	NOUN	636	рассол			
B181	NOUN	637	крупа			
B181	ADJ	638	крупный (о муке грубого помола)			
B181	NOUN	640	кисель			
B181	NOUN	641	квас			
B181	NOUN	642	пиво			
B181	NOUN	643	вино	wine	алкогольный напиток, получаемый в результате полного или частичного спиртового брожения сока либо мезги винограда или иных плодов (иногда с добавлением спирта и других веществ)	an alcoholic beverage made by fermenting grape juice or by fermenting other substances
B181	ADJ	644	сытый			
B181	NOUN	645	голод	hunger	ощущение потребности в принятии пищи; сильное желание есть	a need or compelling desire for food
B181	VERB	646	хотеть пить, испытывать жажду			
B181	VERB	647	курить			
B181	NOUN	648	табак			
B181	NOUN	649	трубка			
B181	VERB	1429	проколоть, проткнуть			
B182	NOUN	650	одежда			
B182	NOUN	651	рубашка (мужская)			
B182	NOUN	652	рубашка (женская)			
B182	NOUN	653	штаны			
B182	NOUN	654	кальсоны			
B182	NOUN	655	юбка			
B182	NOUN	656	сарафан			
B182	NOUN	657	чулок			
B182	NOUN	658	портянки			
B182	NOUN	659	платок			
B182	NOUN	660	кафтан			
B182	NOUN	661	платье			
B182	NOUN	662	шуба			
B182	NOUN	663	пазуха			
B182	NOUN	664	шапка			
B182	NOUN	665	рукавица			
B182	VERB	666	раздеть, снять			
B182	NOUN	667	пояс			
B182	NOUN	668	ремень			
B182	NOUN	669	пряжка			
B182	NOUN	670	подол			
B182	NOUN	671	пуговица			
B182	NOUN	672	рукав			
B182	NOUN	673	карман			
B182	VERB	674	кроить			
B182	VERB	675	шить			
B182	VERB	676	пороть			
B182	VERB	677	подрубать			
B182	VERB	678	чинить белье			
B182	NOUN	679	дыра	hole	отверстие, в особенности с неровными краями, прореха или углубление в чём-либо	a hollow place or cavity; an excavation; a pit; a dent; a depression; a fissure
B182	ADJ	680	старый, изношенный (об одежде)			
B182	ADJ	681	новый			
B182	ADJ	682	тесный			
B182	NOUN	683	бусы	beads	украшение в виде нити с нанизанными на неё зёрнами из стекла, камня и т. п.	a beaded necklace
B182	NOUN	684	кольцо, перстень			
B182	NOUN	685	серьги			
B182	NOUN	686	наперсток			
B182	VERB	687	мыть			
B182	NOUN	688	мыло			
B182	NOUN	689	пар (в бане)			
B182	VERB	690	париться (в бане)			
B182	ADJ	691	чистый			
B182	VERB	692	вытирать	to wipe	проводя чем-либо твёрдым по какой-либо поверхности, делать её чистой или сухой, удалять грязь, пыль, влагу и т. п.; очищать трением	to move an object over, maintaining contact, with the intention of removing some substance from the surface
B182	NOUN	693	полотенце			
B182	NOUN	694	простыня			
B182	NOUN	695	скатерть			
B182	NOUN	696	щелок			
B182	NOUN	697	одеяло			
B182	NOUN	698	подушка			
B182	NOUN	699	постель			
B182	NOUN	700	гребень (для волос)	comb	продолговатая пластинка с рядом зубьев по обеим сторонам, служащая для расчесывания волос; расчёска с крупными зубьями либо украшение для волос, выполненное в виде такой расчёски	a toothed implement for grooming the hair or (formerly) for keeping it in place
B182	NOUN	701	зеркало			
B21	VERB	702	понимать	to understand		
B21	VERB	703	думать	to think	осуществлять мыслительную деятельность 	to ponder, to go over in one's head
B21	VERB	704	помнить	to remember		
B21	VERB	705	упоминать	to mention		
B21	VERB	706	знать	to know		
B21	VERB	707	узнавать	to recognize, to learn, to get to know		
B21	VERB	708	забывать	to forget		
B21	NOUN	709	ум			
B21	ADJ	710	умный			
B21	VERB	711	уметь	to be able		
B21	NOUN	712	мозг			
B21	NOUN	713	слово			
B21	ADJ	714	скупой			
B22	VERB	715	бояться	to fear	испытывать боязнь, страх	to be afraid of (something or someone); to consider or expect (something or someone) with alarm
B22	VERB	716	хотеть	to want		
B22	ADJ	717	милый			
B22	VERB	718	обрадоваться			
B22	VERB	719	нравиться			
B22	VERB	720	смеяться			
B22	VERB	721	сердиться			
B22	NOUN	722	обида			
B22	ADV	723	жаль	pity	о чувстве сожаления по поводу чего-либо,  сострадании по отношению к кому-либо, чему-либо	A feeling of sympathy at the misfortune or suffering of someone or something. 
B22	NOUN	724	печаль, тоска			
B22	VERB	725	мучить			
B22	VERB	726	плакать	to cry		
B22	VERB	727	любить			
B22	VERB	728	обнимать			
B22	VERB	729	целовать			
B22	NOUN	730	беда	misfortune	несчастье, крайне тяжёлое или неприятное событие или обстоятельство	an undesirable event such as an accident
B22	VERB	1166	гладить, поглаживать	to stroke	водить ладонью, пальцами и т. п. по поверхности чего-либо; поглаживать	to move one's hand with gentle pressure over (a surface, especially hair, fur, or skin), typically repeatedly; caress.
B22	NOUN	1450	доверие	trust	положительное отношение к объекту или субъекту, основанное на уверенности в его надёжности, достоверности или, соответственно, честности, добросовестности	сonfidence in or reliance on some person or quality
B23	VERB	731	лгать, обманывать			
B23	VERB	732	воровать	to steal	тайно, без разрешения брать кого-, что-либо у кого-либо, незаконно присваивать себе чужое; красть	to take illegally, or without the owner's permission, something owned by someone else without intending to return it
B23	ADJ	733	виноватый	guilty	совершивший проступок, нечто предосудительное	responsible for a dishonest act
B23	VERB	734	бранить, ругать	to scold	порицать, осуждать кого-либо или что-либо	to rebuke angrily
B23	VERB	735	хаять			
B23	VERB	736	дразнить	to tease	намеренно раздражать шутками, приставанием; злить насмешками	to provoke or disturb; to annoy
B23	ADJ	737	хороший	good		
B23	ADJ	738	злой	evil, wicked		
B23	ADJ	739	плохой	bad		
B23	ADJ	740	ленивый	lazy		
B23	VERB	741	завидовать			
B23	NOUN	742	стыд			
B23	NOUN	743	правда	truth		
B23	NOUN	744	честь			
B23	NOUN	745	милость			
B31	VERB	746	работать			
B31	NOUN	747	работа			
B31	VERB	748	нанимать			
B31	VERB	749	делать	to make	изготовлять, производить какие-либо действия, обычно с помощью инструментов, машин и пр.; создавать какие-либо произведения живописи, литературы, музыки и т. п.	to build, construct, produce, or originate
B31	NOUN	750	дело	business	работа, занятие, действие	a person's occupation, work, or trade
B31	NOUN	751	подряд			
B31	NOUN	752	ноша			
B31	VERB	753	тереть	to rub		
B31	VERB	754	прибирать (в квартире)			
B31	VERB	755	вить, свивать	to twist	соединять, скручивая, сплетая в одну нить, вместе	to turn the ends of something, usually thread, rope etc., in opposite directions, often using force
B31	VERB	756	сучить (пряжу)			
B31	VERB	757	облить			
B31	VERB	758	связывать			
B31	VERB	759	отломить, отколоть			
B31	NOUN	760	узел			
B31	NOUN	1436	помощник	helper, aid		
B321	NOUN	761	подсека			
B321	VERB	762	палить подсеку			
B321	VERB	763	расчищать, раскорчевывать (под пашню, луг)			
B321	NOUN	764	пожог, выженное место			
B321	NOUN	765	груда (камней)	heap	большое количество каких-либо предметов, сложенных, нагромождённых в беспорядке один на другой	a pile or mass; a collection of things laid in a body, or thrown together so as to form an elevation
B321	NOUN	766	поле			
B321	NOUN	767	почва	soil		
B321	ADJ	768	твердый			
B321	VERB	769	набухать			
B321	VERB	770	обрабатывать (землю)			
B321	NOUN	771	полоса (земли)			
B321	NOUN	772	пар (в севообороте)			
B321	NOUN	773	подсека заросшая			
B321	NOUN	774	навоз			
B321	NOUN	775	навозная куча			
B321	VERB	776	копать			
B321	NOUN	777	мотыга			
B321	NOUN	778	соха			
B321	NOUN	779	борона	harrow	сельскохозяйственное орудие для обработки почвы, состоящее из тяжелой конструкции, имеющей несколько дисков или зубьев в ряд, которую таскают по вспаханной земле для выравнивания или рыхления почвы, удаления сорняков или прикрытия семян	a device consisting of a heavy framework having several disks or teeth in a row, which is dragged across ploughed land to smooth or break up the soil, to remove weeds or cover seeds; a harrow plow.
B321	NOUN	780	изгородь			
B321	NOUN	781	кол			
B321	VERB	782	сеять			
B321	NOUN	783	всходы	young growth	ростки хлебных злаков, показавшиеся из земли	cereal sprouts emerging from the ground
B321	NOUN	784	росток			
B321	NOUN	785	отросток, побег			
B321	VERB	786	полоть			
B321	ADJ	787	спелый, зрелый			
B321	NOUN	788	полеглость			
B321	NOUN	789	лемех			
B321	VERB	790	пахать			
B321	NOUN	791	борозда	furrow	длинная канавка на поверхности почвы, проведённая сохой или плугом, для посадки в неё растений	a trench cut in the soil, as when plowed in order to plant a crop
B321	NOUN	1437	жердь	pole	длинный шест из тонкого ствола дерева	Originally, a stick; now specifically, a long and slender piece of metal or (especially) wood, used for various construction or support purposes.
B322	VERB	792	жать	to reap	среза́ть под корень (стебли хлебных растений), убирать урожай зерновых 	To gather (e.g. a harvest) by cutting.
B322	NOUN	793	серп			
B322	NOUN	794	сноп			
B322	NOUN	795	перевясло			
B322	NOUN	796	суслон, бабка			
B322	NOUN	797	зарод			
B322	NOUN	798	стерня			
B322	NOUN	799	яровые злаки			
B323	NOUN	800	рига			
B323	VERB	801	насаживать снопы (в ригу)			
B323	VERB	802	молотить			
B323	NOUN	803	зерно			
B323	VERB	804	веять	to winnow	отделять, очищать зерно от мякины и сора на естественном ветре или при помощи веялки	to subject (granular material, especially food grain) to a current of air separating heavier and lighter components, as grain from chaff
B323	NOUN	805	солома			
B323	NOUN	806	пучок, связка (соломы)			
B323	NOUN	807	полова, мякина			
B324	NOUN	808	коса			
B324	VERB	809	косить	to mow, to cut		
B324	NOUN	810	сено			
B324	NOUN	811	луг, лужайка			
B324	VERB	812	точить на точильном камне			
B324	VERB	813	точить бруском			
B324	NOUN	814	грабли	rake	садово-огородный инструмент, колодка с зубьями, насаженная на длинную рукоятку	a garden tool with a row of pointed teeth fixed to a long handle, used for collecting debris, grass, etc., for flattening the ground, or for loosening soil
B324	NOUN	815	зуб (граблей)			
B324	NOUN	816	валок (сена)	windrow (of hay)	ряд срезанного (скошенного) сена или мелкой зерновой культуры	a long line of raked hay or sheaves of grain laid out to dry in the wind
B324	NOUN	817	куча			
B324	NOUN	818	копна (сена)			
B324	VERB	819	разбрасывать, расстилать (копны сена)			
B324	NOUN	820	носилки для подноски сена			
B324	NOUN	821	прясло			
B324	NOUN	822	стог			
B324	NOUN	823	стожар			
B331	NOUN	824	двор для скота	barnyard	часть крестьянского двора, предназначенная для содержания сельскохозяйственных животных	part of a peasant yard intended for keeping farm animals
B331	NOUN	825	хлев			
B331	VERB	826	привязать			
B331	NOUN	827	скот			
B331	VERB	828	кормить			
B331	NOUN	829	ясли			
B331	NOUN	830	лошадь			
B331	NOUN	831	жеребец	stallion	самец лошади 	An adult male horse.
B331	NOUN	832	самец	masculine		
B331	NOUN	833	грива (лошади)	mane	длинная шерсть, растущая на голове, загривке и шее некоторых животных	longer hair growth on back of neck of an animal, especially a horse or lion
B331	NOUN	834	мерин			
B331	NOUN	835	кобыла			
B331	NOUN	836	жеребенок	colt	детёныш лошади	A young male horse.
B331	NOUN	837	сбруя, упряжь			
B331	NOUN	838	узда			
B331	NOUN	839	седло			
B331	NOUN	840	удила			
B331	NOUN	841	хомут			
B331	NOUN	842	дуга (упряжь)	shaft bow	деревянная часть упряжи, соединяющая оглобли с хомутом и имеющая изогнутую форму	an element of horse harness that is attached to the front of the shafts of a horse-drawn vehicle and joins them by arching high above the neck of the horse
B331	NOUN	843	вожжи	rein	часть упряжи, состоящая из длинного ремня (или толстой тесьмы, верёвки), прикреплённого к удилам, и служащая для того, чтобы править запряжённой лошадью	a long, narrow strap attached at one end to a horse's bit, typically used in pairs to guide or check a horse while riding or driving
B331	NOUN	844	гуж	tug	кожаная или верёвочная петля у хомута, служащая для скрепления оглобель с дугой; в гужи закладываются концы оглобель и через них передаётся тяговое усилие от лошади к повозке	a leather or rope loop at the clamp, which serves to fasten the shaft to the arc; the ends of the shafts are placed in the tugs and through them the traction force is transmitted from the horse to the cart
B331	NOUN	845	супонь - ремень для стягивания хомута (обычно под шеей лошади)			
B331	VERB	846	ржать			
B331	NOUN	847	корова			
B331	NOUN	848	рог			
B331	ADJ	849	комолый	hornless	о животных, обыкновенно имеющих рога: безрогий, имеющий вместо рогов только комли рогов, роговые наросты	without horns
B331	ADJ	850	яловый			
B331	NOUN	851	бык	bull	животное рода полорогих парнокопытных, включающего в себя дикий и одомашненный рогатый скот; самец коровы	an adult male of domesticated cattle or oxen
B331	VERB	852	кастрировать			
B331	ADJ	853	беременный (о животных)	pregnant (animal)	о самке животного, вынашивающей детёныша	about a female animal carrying developing offspring in her body
B331	NOUN	854	нетель			
B331	NOUN	855	вымя	udder	у самок млекопитающих животных — о́рган, выделяющий молоко; молочная железа с соска́ми	an organ formed of the mammary glands of female quadruped mammals, particularly ruminants such as cattle, goats, sheep and deer
B331	VERB	856	мычать			
B331	VERB	857	жевать жвачку	chewing	Пережёвывать возвращаемой из желудка растительной пищи во вторичном процессе пищеварения, характерном для жвачных животных.  	Chewing plant food returned from the stomach in a secondary digestive process characteristic of ruminants.
B331	NOUN	858	копыто			
B331	NOUN	859	хвост			
B331	NOUN	860	баран	ram	жвачное парнокопытное млекопитающее семейства полорогих с длинной вьющейся шерстью и изогнутыми рогами	A male sheep, typically uncastrated.
B331	NOUN	861	овца	sheep	небольшое домашнее жвачное животное семейства полорогих, дающее шерсть, мясо, молоко	a woolly ruminant of the genus Ovis
B331	NOUN	862	овечья шкура			
B331	NOUN	863	шкура			
B331	NOUN	864	ягненок			
B331	NOUN	865	ярка			
B331	NOUN	866	овца (самка)			
B331	VERB	867	бодать	to butt	бить, колоть рогами	to strike bluntly, particularly with the head
B331	NOUN	868	шерсть			
B331	VERB	869	стричь (овец)			
B331	NOUN	870	свинья			
B331	NOUN	871	поросенок			
B331	NOUN	1449	самка	female		
B332	VERB	872	курятник			
B332	NOUN	873	петух			
B332	VERB	874	петь (о петухе)			
B332	NOUN	875	курица			
B332	VERB	876	нестись, класть яйца (о птицах)			
B332	NOUN	878	зоб			
B332	NOUN	879	яйцо			
B333	NOUN	880	молоко			
B333	VERB	881	цедить (молоко)			
B333	ADJ	882	свежий			
B333	NOUN	883	запеченное молозиво			
B333	NOUN	884	сметана			
B333	VERB	885	сбивать (масло)			
B333	NOUN	886	масло			
B333	VERB	887	растопить (масло)			
B333	NOUN	888	творог			
B333	NOUN	889	сыворотка			
B334	NOUN	890	пастбище			
B334	NOUN	891	пастух			
B334	NOUN	892	пастуший рожок	shepherd's horn		
B334	NOUN	893	плеть			
B34	NOUN	894	картофель			
B34	NOUN	895	ботва	leaves of root vegetables	листья и стебли корнеплодов (свёклы, репы, моркови и т. п.) и картофеля	
B34	NOUN	896	пчела			
B34	NOUN	897	мед			
B34	NOUN	898	воск	wax	пластичная масса жёлтого или белого цвета, производимая пчёлами для постройки сот	any oily, water-resistant, solid or semisolid substance; normally long-chain hydrocarbons, alcohols or esters
B34	NOUN	899	семя			
B34	NOUN	900	рассада			
B34	NOUN	901	лён			
B34	VERB	902	трепать (лен)	scutch		
B34	NOUN	903	конопля			
B34	VERB	904	мочить			
B34	NOUN	905	лыко			
B34	NOUN	906	чесалки для шерсти			
B34	NOUN	907	смола перегнанная			
B34	VERB	908	дубить	to tan (leather)	подвергать обработке кожу, шкуру в процессе вымачивания в специальных растворах	to change an animal hide into leather by soaking it in tannic acid
B351	NOUN	909	молоток			
B351	NOUN	910	гвоздь	nail (fastener)	крепёжное изделие в виде металлического стержня, заострённого с одного конца и, как правило, с плоским утолщением (шляпкой) на втором, тупом конце	a spike-shaped metal fastener used for joining wood or similar materials. The nail is generally driven through two or more layers of material by means of impacts from a hammer or other device. It is then held in place by friction
B351	NOUN	911	клин (деревянный)			
B351	NOUN	912	веретено	spindle	ручное прядильное орудие в виде длинной, тонкой палочки с заострёнными концами и утолщением посредине	A rod used for spinning and then winding natural fibres (especially wool), usually consisting of a shaft and a circular whorl positioned at either the upper or lower end of the shaft when suspended vertically from the forming thread
B351	NOUN	913	точило			
B351	NOUN	914	долото	chisel	плотницкий или столярный ручной инструмент, предназначенный для выдалбливания отверстий, гнёзд, пазов и т. п.	a cutting tool used to remove parts of stone, wood or metal by pushing or pounding the back when the sharp edge is against the material. It consists of a slim, oblong block of metal with a sharp wedge or bevel formed on one end and sometimes a handle at t
B351	NOUN	915	подмостки для вытаскивания лодки на берег			
B351	NOUN	916	топор			
B351	NOUN	917	пятка топора			
B351	NOUN	918	обух топора			
B351	NOUN	919	вилы	pitchfork	сельскохозяйственное орудие в виде нескольких острозаточенных прутьев, соединённых поперечным стержнем, прикреплённым к ручке	An agricultural tool comprising a fork with sparse, light tines, attached to a long handle, used for pitching hay (especially loose hay) high up onto a stack (as on a wagon or haystack, or into a haymow).
B351	NOUN	920	острие			
B351	ADJ	921	острый			
B351	NOUN	922	нож			
B351	NOUN	923	ножны			
B351	NOUN	924	брусок	bar	продолговатый предмет, обычно имеющий прямоугольное поперечное сечение с резкими либо скруглёнными продольными и поперечными гранями	a solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length
B351	NOUN	925	сверло			
B351	NOUN	926	портной			
B351	NOUN	927	прялка			
B351	NOUN	928	метла			
B351	NOUN	929	лопата			
B351	NOUN	930	пешня			
B352	NOUN	931	хлеб			
B352	ADJ	932	мягкий (о хлебе)			
B352	NOUN	933	ломтик (хлеба)			
B352	NOUN	934	кусок (хлеба)			
B352	NOUN	935	крошка (хлеба)			
B352	NOUN	936	краюха (хлеба)			
B352	NOUN	937	каравай (круглый хлеб)			
B352	VERB	938	молоть			
B352	NOUN	939	мука			
B352	NOUN	941	высевки	bran	разломанная оболочка семян пшеницы, ржи или других зерновых культур, отделенная от муки или шрота путем просеивания или просеивания; грубая, пленчатая часть молотого зерна	the broken coat of the seed of wheat, rye, or other cereal grain, separated from the flour or meal by sifting or bolting; the coarse, chaffy part of ground grain.
B352	NOUN	942	закваска (для теста)			
B352	NOUN	943	дрожжи	yeast	микроскопические одноклеточные грибки, вызывающие брожение	an often humid, yellowish froth produced by fermenting malt worts, and used to brew beer, leaven bread, and also used in certain medicines
B352	NOUN	944	тесто			
B352	NOUN	945	помело			
B352	VERB	946	печь, испечь			
B352	VERB	947	резать			
B353	NOUN	948	ружье			
B353	NOUN	949	лук (оружие)			
B353	NOUN	950	стрела			
B353	VERB	951	стрелять			
B353	VERB	952	попадать в цель			
B353	NOUN	953	лабаз			
B353	NOUN	954	силок (для птиц)			
B353	NOUN	955	ловушка			
B353	NOUN	956	ток пернатой дичи			
B353	NOUN	957	добыча	prey	то, что добыто охотой, промыслом и т. п.; предмет охоты, промысла и т. п.	an animal that is hunted and killed by another for food
B353	VERB	958	ловить, промышлять рыбу			
B353	NOUN	959	крючок рыболовный			
B353	NOUN	960	удилище	fishing rod		
B353	NOUN	961	леска			
B353	VERB	962	лучить рыбу			
B353	NOUN	963	приспособление для огня при лучении рыбы	device for fire when beaming fish		
B353	NOUN	964	острога			
B353	NOUN	965	сеть			
B353	NOUN	966	игла, иглица для вязания сетей			
B353	NOUN	967	планка для вязания сетей			
B353	NOUN	968	тетива сети			
B353	NOUN	969	поплавок			
B353	NOUN	970	грузило (в сетях)	sinker	небольшой груз, подвешиваемый к лесе удочки или к сети для удержания их на глубине	a weight used in fishing to cause the line or net to sink
B353	VERB	971	красить (сети)			
B353	NOUN	972	вешало (для сетей, невода)	hanger (for nets)	столб или жерди с поперечными перекладинами для развешивания и сушки чего-либо	a pole or poles with crossbars for hanging and drying something
B353	NOUN	973	невод			
B353	NOUN	974	мотня невода			
B353	NOUN	975	горловина мережи	neck of Fyke net	первый, входной, обруч ставного невода (рыболовной снасти-ловушки, состоящей из сетки, натянутой на обручи) чаще всего имеет форму арки, на нижних концах которой закреплены небольшие грузы, для более устойчивого положения	the first hoop of Fyke net (a type of fish-trap consisting of tubular nets that are supported by hoops)
B353	NOUN	976	тоня (заводь)			
B353	NOUN	977	мережа			
B353	NOUN	978	блесна	minnow	искусственная приманка для ловли рыбы в виде металлической пластины с одним или несколькими рыболовными крючками	an artificial bait in the form of a small fish
B353	VERB	979	ботать	to catch fish with a	ловить рыбу посредством ботало (длинной палки с дощечкой или конусообразным пустым внутри наконечником), которым ударяют по воде при ловле рыбы, пугая её и загоняя в сети	catch fish using a long stick with a plank or a cone-shaped tip empty inside, which is used to hit the water when catching fish, scaring it and driving it into the net
B353	VERB	980	вялить	to jerk	подсушивать на солнце, ветру или искусственным путём для сохранения впрок	to cure (meat or fish) by cutting into strips and drying
B353	NOUN	981	сушеная рыба, сущик			
B353	NOUN	982	кость (рыбья)			
B353	VERB	983	убивать			
B353	VERB	984	сдирать шкуру (с животных)			
B353	NOUN	985	мясо			
B353	NOUN	986	кость			
B353	NOUN	987	сало, жир			
B353	NOUN	988	шкварки			
B354	VERB	989	раскалывать, колоть (дрова)	to chop wood		
B354	NOUN	990	колотушка (для колки дров)			
B354	VERB	991	тесать			
B354	NOUN	992	чурбак			
B354	VERB	993	щепать (лучину)			
B354	NOUN	994	щепка			
B354	VERB	995	долбить	to gouge	ударами какого-либо инструмента проделывать отверстия, углубления в чём-либо твёрдом, разбивать что-либо	to make a dent or a hole by constantly hitting the surface
B354	NOUN	996	доска	board	плоский длинный кусок дерева, пиломатериал, получаемый путём продольной распилки бревна	a relatively long, wide and thin piece of any material, usually wood or similar, often for use in construction or furniture-making
B354	NOUN	997	половица			
B354	NOUN	998	палка			
B354	NOUN	999	обруч (у бочки)			
B355	NOUN	1000	кузнец			
B355	NOUN	1001	наковальня			
B355	NOUN	1002	кузнечные мехи			
B355	VERB	1003	раздувать (горн)			
B355	VERB	1004	ковать (железо)			
B355	NOUN	1005	колесо			
B355	NOUN	1006	клещи			
B355	NOUN	1007	сталь			
B355	VERB	1008	калить			
B355	VERB	1009	паять			
B355	NOUN	1010	ржавчина (на металле)			
B355	NOUN	1011	крюк			
B356	NOUN	1012	домотканая материя, ткань	fabric	тканая материя, материал	a material made of fibers, a textile or cloth
B356	VERB	1013	прясть			
B356	NOUN	1014	кудель			
B356	NOUN	1015	веретено, полное пряжи	spindle full of yarn	приспособление для прядения — стержень для навивания пряжи, перерабатываемой в нить	spinning device - a rod for winding yarn to be processed into thread
B356	VERB	1016	мотать нитки на клубок			
B356	NOUN	1017	клубок			
B356	VERB	1018	мотать нитки на мотовило			
B356	VERB	1019	ткать			
B356	NOUN	1020	кросна, стан			
B356	VERB	1021	основать			
B356	NOUN	1022	основа ткани			
B356	NOUN	1023	бёрдо	reed (in a loom)	приспособление для ручного ткачества в виде частого гребня	a comb-like part of a beater for beating the weft when weaving.
B356	NOUN	1024	конец нитчёнок			
